productName,productSlug,productDescription,productAssets,productFeaturedAsset,productFacetValues,productOptions,RAL
HA1401B-S19-018,HA1401B-S19-018,蓝色砂纹聚酯型粉末,,,category:general-powder,spec-package:20kg/箱,5010
HA1401H-S19-026,HA1401H-S19-026,白色砂纹聚酯型粉末,,,category:general-powder,spec-package:20kg/箱,9003
HE1081L-G20-002,HE1081L-G20-002, 黑色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,9005
HE1086A-G20-002,HE1086A-G20-002, 灰色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,7024
HE1086G-G20-001,HE1086G-G20-001, 绿色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,6027
HE1086G-G20-003,HE1086G-G20-003, 绿色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,6027
HE1086G-G20-003B ,HE1086G-G20-003B , 绿色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,6027
HE1086L-G20-001,HE1086L-G20-001, 黑色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,9005
HE1086L-G20-002,HE1086L-G20-002, 黑色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,9005
HE1086X-G20-001,HE1086X-G20-001, 橙色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,2003
HE2081G-G20-001,HE2081G-G20-001, 绿色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,6027
HE2086A-G20-002,HE2086A-G20-002, 灰色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,7024
HE2086L-G20-003,HE2086L-G20-003, 黑色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,9005
HE2086R-G20-001,HE2086R-G20-001, 红色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,3011
HE2095A-G50-002,HE2095A-G50-002, 灰色平光环氧防腐粉末,,,category:anti-corrosion-powder,spec-package:20kg/箱,7024
HE3081G-G20-007,HE3081G-G20-007, 绿色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,6027
HE3081L-G20-001,HE3081L-G20-001, 黑色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,9005
HE3081L-G20-005,HE3081L-G20-005, 黑色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,9005
HE3081N-G20-001,HE3081N-G20-001, 棕色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,8023
HE3081N-G20-002,HE3081N-G20-002, 棕色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,8023
HE3081N-G20-003,HE3081N-G20-003, 棕色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,8023
HE3081N-G20-004,HE3081N-G20-004, 棕色平光环氧绝缘粉末,,,category:insulating-powder,spec-package:20kg/箱,8023
